Date,Count
2016-01-01,225
2016-01-02,513
2016-01-03,13
2016-01-04,216
2016-01-05,385
2016-01-06,445
2016-01-07,506
2016-01-08,551
2016-01-09,590
2016-01-10,226
2016-01-11,479
2016-01-12,551
2016-01-13,634
2016-01-14,559
2016-01-15,749
2016-01-16,713
2016-01-17,299
2016-01-18,666
2016-01-19,600
2016-01-20,665
2016-01-21,753
2016-01-22,762
2016-01-23,858
2016-01-24,392
2016-01-25,605
2016-01-26,578
2016-01-27,494
2016-01-28,673
2016-01-29,750
2016-01-30,631
2016-01-31,311
2016-02-01,767
2016-02-02,782
2016-02-03,837
2016-02-04,7
2016-02-05,715
2016-02-06,685
2016-02-07,418
2016-02-08,608
2016-02-09,585
2016-02-10,661
2016-02-11,638
2016-02-12,825
2016-02-13,726
2016-02-14,379
2016-02-15,648
2016-02-16,651
2016-02-17,604
2016-02-18,726
2016-02-19,1005
2016-02-20,815
2016-02-21,372
2016-02-22,764
2016-02-23,731
2016-02-24,1804
2016-02-25,2284
2016-02-26,2640
2016-02-27,1670
2016-02-28,1387
2016-02-29,1676
2016-03-01,0
2016-03-02,0
2016-03-03,706
2016-03-04,806
2016-03-05,999
2016-03-06,23
2016-03-07,126
2016-03-08,678
2016-03-09,482
2016-03-10,508
2016-03-11,738
2016-03-12,698
2016-03-13,439
2016-03-14,718
2016-03-15,320
2016-03-16,533
2016-03-17,497
2016-03-18,708
2016-03-19,709
2016-03-20,394
2016-03-21,497
2016-03-22,564
2016-03-23,291
2016-03-24,643
2016-03-25,819
2016-03-26,701
2016-03-27,336
2016-03-28,379
2016-03-29,573
2016-03-30,711
2016-03-31,803
2016-04-01,838
2016-04-02,674
2016-04-03,315
2016-04-04,629
2016-04-05,690
2016-04-06,596
2016-04-07,625
2016-04-08,844
2016-04-09,677
2016-04-10,333
2016-04-11,571
2016-04-12,803
2016-04-13,657
2016-04-14,658
2016-04-15,769
2016-04-16,821
2016-04-17,585
2016-04-18,734
2016-04-19,678
2016-04-20,744
2016-04-21,833
2016-04-22,1115
2016-04-23,1114
2016-04-24,511
2016-04-25,794
2016-04-26,804
2016-04-27,677
2016-04-28,889
2016-04-29,1156
2016-04-30,1637
2016-05-01,398
2016-05-02,421
2016-05-03,849
2016-05-04,746
2016-05-05,785
2016-05-06,970
2016-05-07,1186
2016-05-08,669
2016-05-09,983
2016-05-10,967
2016-05-11,767
2016-05-12,1074
2016-05-13,1138
2016-05-14,1202
2016-05-15,517
2016-05-16,904
2016-05-17,1116
2016-05-18,1400
2016-05-19,1435
2016-05-20,872
2016-05-21,1072
2016-05-22,1030
2016-05-23,1463
2016-05-24,1331
2016-05-25,1153
2016-05-26,471
2016-05-27,1276
2016-05-28,1500
2016-05-29,66
2016-05-30,411
2016-05-31,1438
2016-06-01,1209
2016-06-02,1138
2016-06-03,1480
2016-06-04,1712
2016-06-05,597
2016-06-06,1074
2016-06-07,1120
2016-06-08,922
2016-06-09,1711
2016-06-10,1808
2016-06-11,1779
2016-06-12,868
2016-06-13,1302
2016-06-14,1575
2016-06-15,1561
2016-06-16,1508
2016-06-17,1631
2016-06-18,1947
2016-06-19,812
2016-06-20,1286
2016-06-21,1304
2016-06-22,1770
2016-06-23,1152
2016-06-24,1660
2016-06-25,1389
2016-06-26,858
2016-06-27,1258
2016-06-28,1244
2016-06-29,4153
2016-06-30,1597
2016-07-01,1644
2016-07-02,1635
2016-07-03,788
2016-07-04,1476
2016-07-05,1455
2016-07-06,1283
2016-07-07,1007
2016-07-08,1511
2016-07-09,1208
2016-07-10,606
2016-07-11,1096
2016-07-12,1286
2016-07-13,1377
2016-07-14,1111
2016-07-15,1719
2016-07-16,1678
2016-07-17,1320
2016-07-18,1514
2016-07-19,1399
2016-07-20,842
2016-07-21,1461
2016-07-22,1536
2016-07-23,1557
2016-07-24,899
2016-07-25,1667
2016-07-26,1488
2016-07-27,1494
2016-07-28,1607
2016-07-29,1774
2016-07-30,1671
2016-07-31,1080
2016-08-01,1220
2016-08-02,1603
2016-08-03,1488
2016-08-04,1723
2016-08-05,1575
2016-08-06,1812
2016-08-07,1034
2016-08-08,1464
2016-08-09,1710
2016-08-10,1677
2016-08-11,1589
2016-08-12,2259
2016-08-13,2126
2016-08-14,1575
2016-08-15,2036
2016-08-16,2086
2016-08-17,2003
2016-08-18,2066
2016-08-19,1936
2016-08-20,1976
2016-08-21,1408
2016-08-22,1488
2016-08-23,1482
2016-08-24,1341
2016-08-25,1501
2016-08-26,1615
2016-08-27,1406
2016-08-28,952
2016-08-29,1019
2016-08-30,1389
2016-08-31,12
2016-09-01,1721
2016-09-02,2040
2016-09-03,1874
2016-09-04,1170
2016-09-05,1552
2016-09-06,1607
2016-09-07,1531
2016-09-08,1508
2016-09-09,1629
2016-09-10,1662
2016-09-11,1040
2016-09-12,1344
2016-09-13,1320
2016-09-14,1387
2016-09-15,1429
2016-09-16,2147
2016-09-17,2458
2016-09-18,1463
2016-09-19,1589
2016-09-20,1679
2016-09-21,1789
2016-09-22,1823
2016-09-23,2089
2016-09-24,2336
2016-09-25,1426
2016-09-26,1607
2016-09-27,1730
2016-09-28,1784
2016-09-29,1605
2016-09-30,2153
2016-10-01,2185
2016-10-02,1381
2016-10-03,1897
2016-10-04,1813
2016-10-05,1782
2016-10-06,2189
2016-10-07,2257
2016-10-08,2153
2016-10-09,1127
2016-10-10,1761
2016-10-11,1902
2016-10-12,1687
2016-10-13,1878
2016-10-14,2356
2016-10-15,2308
2016-10-16,1172
2016-10-17,1737
2016-10-18,1554
2016-10-19,1453
2016-10-20,1624
2016-10-21,2103
2016-10-22,2032
2016-10-23,982
2016-10-24,1569
2016-10-25,1467
2016-10-26,1519
2016-10-27,1488
2016-10-28,1610
2016-10-29,1986
2016-10-30,1054
2016-10-31,1463
2016-11-01,1383
2016-11-02,1438
2016-11-03,1674
2016-11-04,1547
2016-11-05,2119
2016-11-06,877
2016-11-07,1711
2016-11-08,1822
2016-11-09,1748
2016-11-10,1858
2016-11-11,2107
2016-11-12,2120
2016-11-13,1161
2016-11-14,1799
2016-11-15,1571
2016-11-16,1690
2016-11-17,1839
2016-11-18,1874
2016-11-19,1949
2016-11-20,781
2016-11-21,1581
2016-11-22,1870
2016-11-23,1626
2016-11-24,1712
2016-11-25,2131
2016-11-26,2009
2016-11-27,1140
2016-11-28,1794
2016-11-29,1966
2016-11-30,1871
2016-12-01,1792
2016-12-02,2130
2016-12-03,2021
2016-12-04,1934
2016-12-05,1567
2016-12-06,1600
2016-12-07,1694
2016-12-08,1499
2016-12-09,1884
2016-12-10,1749
2016-12-11,934
2016-12-12,1258
2016-12-13,1234
2016-12-14,1439
2016-12-15,1463
2016-12-16,1623
2016-12-17,1456
2016-12-18,784
2016-12-19,1314
2016-12-20,1651
2016-12-21,1634
2016-12-22,2138
2016-12-23,2377
2016-12-24,1732
2016-12-25,325
2016-12-26,443
2016-12-27,764
2016-12-28,1095
2016-12-29,1420
2016-12-30,1813
2016-12-31,1681
